air.ITVMobilePlayer;ITV Hub;Watching
air.uk.co.bbc.android.mediaplayer;BBC Media Player;Watching
android;Android;Background Processes and Services
android.googleSearch.googleSearchWidget;Google Search Widget;Searching and Wikis
bbc.iplayer.android;BBC iPlayer;Watching
bbc.mobile.news.uk;BBC News;News, Weather and Magazines
bbc.mobile.weather;BBC Weather;News, Weather and Magazines
com.LocalFota;Local Fota;Background Processes and Services
com.adobe.flashplayer;Adobe Flash Player;Tools
com.adobe.reader;Adobe Acrobat Reader;Office
com.amazon.kindle;Amazon Kindle;Reading
com.amazon.mShop.android.shopping;Amazon Shopping;Shopping
com.amazon.mp3;Amazon Music with Prime Music;Listening
com.android.apps.tag;Apps Tag;Background Processes and Services
com.android.backupconfirm;Backup Confirm;Background Processes and Services
com.android.bluetooth;Bluetooth;Background Processes and Services
com.android.bluetoothmidiservice;Bluetooth Service;Background Processes and Services
com.android.browser;Android Browser;Browsers
com.android.browser.provider;Android Browser Provider;Browsers
com.android.calculator2;Calculator;Office
com.android.calendar;Calendar;Office
com.android.captiveportallogin;Captive Portal Login;Background Processes and Services
com.android.carrierconfig;Carrier Config;Background Processes and Services
com.android.cellbroadcastreceiver;Cell Broadcast Receiver;Background Processes and Services
com.android.certinstaller;Cert Installer;Background Processes and Services
com.android.chrome;Google Chrome;Browsers
com.android.contacts;Contacts;Communication
com.android.defcontainer;Def Contaner;Background Processes and Services
com.android.deskclock;Clock;Tools
com.android.dialer;Android Dialer;SMS and Phone
com.android.documentsui;Documents;Office
com.android.dreams.basic;Dreams Basic Screensaver;Background Processes and Services
com.android.dreams.phototable;Dreams Phototable Screensaver;Background Processes and Services
com.android.email;Email;Communication
com.android.exchange;Exchange;Communication
com.android.externalstorage;Android External Storage;Storage, Backups and Transfers
com.android.facelock;FaceLock;Photography
com.android.galaxy4;Galaxy 4;Background Processes and Services
com.android.gallery3d;Android 3D Gallery;Photography
com.android.htmlviewer;HTML Viewer;Browsers
com.android.incallui;In Call UI;Background Processes and Services
com.android.inputdevices;Input Devices;Background Processes and Services
com.android.inputmethod.latin;Google Keyboard;Tools
com.android.keychain;KeyChain;Background Processes and Services
com.android.keyguard;Lock Screen;Background Processes and Services
com.android.launcher;Launcher App;Background Processes and Services
com.android.location.fused;Location;Background Processes and Services
com.android.magicsmoke;Magic Smoke Live Wallpaper;Background Processes and Services
com.android.managedprovisioning;Managed Provisioning;Background Processes and Services
com.android.mms;SMS;SMS and Phone
com.android.mms.service;SMS Service;SMS and Phone
com.android.musicfx;MusicFX;Listening
com.android.musicvis;MusicVis;Listening
com.android.nfc;NFC;Background Processes and Services
com.android.noisefield;Noise Field;Background Processes and Services
com.android.onetimeinitializer;One Time Initializer;Background Processes and Services
com.android.packageinstaller;Package Installer;Google Play Updates
com.android.pacprocessor;PAC Processor;Background Processes and Services
com.android.phasebeam;Phase Beam Live Wallpaper;Background Processes and Services
com.android.phone;Android Phone;SMS and Phone
com.android.printspooler;Print Spooler;Office
com.android.providers.applications;Application Provider;Background Processes and Services
com.android.providers.calendar;Calendar Provider;Office
com.android.providers.calllogbackup;Call Log Backup Provider;Background Processes and Services
com.android.providers.contacts;Contacts Provider;Communication
com.android.providers.downloads;Android Download Provider;Google Play Updates
com.android.providers.downloads.ui;Android Download Provider UI;Google Play Updates
com.android.providers.drm;Drm Provider;Background Processes and Services
com.android.providers.media;Media Provider;Background Processes and Services
com.android.providers.partnerbookmarks;Partner Bookmarks Provider;Background Processes and Services
com.android.providers.security;Android Security Provider;Security
com.android.providers.settings;Settings Provider;Settings
com.android.providers.telephony;SMS;SMS and Phone
com.android.providers.userdictionary;Predictive Text;Background Processes and Services
com.android.proxyhandler;Proxy Handler;Background Processes and Services
com.android.server.telecom;Phone Calls;SMS and Phone
com.android.settings;Settings;Settings
com.android.sharedstoragebackup;Shared Storage Backup;Storage, Backups and Transfers
com.android.shell;Shell;Background Processes and Services
com.android.smspush;SMS Push;SMS and Phone
com.android.soundrecorder;Sound Recorder;Office
com.android.statementservice;Service Statement;Background Processes and Services
com.android.stk;SIM Toolkit;Background Processes and Services
com.android.systemui;System UI;Background Processes and Services
com.android.vending;Vending;Background Processes and Services
com.android.vpndialogs;VPN Service;Background Processes and Services
com.android.wallpaper;Wallpaper;Background Processes and Services
com.android.wallpaper.holospiral;Wallpaper Holospiral;Background Processes and Services
com.android.wallpaper.livepicker;Wallpaper Livepicker;Background Processes and Services
com.android.wallpapercropper;Wallpaper Cropper;Background Processes and Services
com.channel4.ondemand;All 4;Watching
com.citymapper.app.release;Citymapper;Navigation and Travel
com.devhd.feedly;feedly: your Office newsfeed;News, Weather and Magazines
com.dropbox.android;Dropbox;Storage, Backups and Transfers
com.dsi.ant.plugins.antplus;ANT+ Plugins Service;Health and Fitness
com.dsi.ant.server;ANT+ Plugins Service;Health and Fitness
com.dsi.ant.service.socket;ANT+ Plugins Service;Health and Fitness
com.ebay.mobile;eBay;Shopping
com.eclipsim.gpsstatus2;GPS Status & Toolbox;Navigation and Travel
com.estrongs.android.pop;ES File Explorer File Manager;Storage, Backups and Transfers
com.evernote;Evernote;Office
com.facebook.katana;Facebook;Social Media
com.facebook.orca;Facebook Messenger;Communication
com.farproc.wifi.analyzer;Wifi Analyzer;Analysers
com.fmm.dm;FMM DM;Background Processes and Services
com.fmm.ds;FMM DS;Background Processes and Services
com.gd.mobicore.pa;Mobicore;Background Processes and Services
com.google.android.GoogleCamera;Camera;Photography
com.google.android.androidforwork;Android for Office;Office
com.google.android.apps.adm;Android Device Manager;Tools
com.google.android.apps.authenticator2;Google Authenticator;Tools
com.google.android.apps.books;Google Play Books;Reading
com.google.android.apps.chromecast.app;Google Cast;Watching
com.google.android.apps.cloudprint;Cloud Print;Office
com.google.android.apps.currents;Google Currents;News, Weather and Magazines
com.google.android.apps.docs;Google Drive;Storage, Backups and Transfers
com.google.android.apps.docs.editors.docs;Google Docs;Office
com.google.android.apps.docs.editors.sheets;Google Sheets;Office
com.google.android.apps.docs.editors.slides;Google Slides;Office
com.google.android.apps.enterprise.dmagent;Google Apps Device Policy;Office
com.google.android.apps.fitness;Google Fit;Health and Fitness
com.google.android.apps.gcs;Google Connectivity Services;Tools
com.google.android.apps.genie.geniewidget;Google News and Weather;News, Weather and Magazines
com.google.android.apps.inbox;Inbox by Gmail;Communication
com.google.android.apps.inputmethod.hindi;Google Indic Keyboard;Tools
com.google.android.apps.magazines;Google Play Newsstand;News, Weather and Magazines
com.google.android.apps.maps;Google Maps;Navigation and Travel
com.google.android.apps.messaging;Google Messenger;Communication
com.google.android.apps.photos;Google Photos;Photography
com.google.android.apps.plus;Google+;Social Media
com.google.android.apps.translate;Google Translate;Tools
com.google.android.apps.unveil;Google Goggles;Searching and Wikis
com.google.android.apps.uploader;Android Apps Uploader;Google Play Updates
com.google.android.apps.walletnfcrel;Android Pay;Shopping
com.google.android.backup;Android Backup;Storage, Backups and Transfers
com.google.android.backuptransport;Android Backup Transport;Storage, Backups and Transfers
com.google.android.calendar;Google Calendar;Office
com.google.android.configupdater;Config Updater;Background Processes and Services
com.google.android.contacts;Contacts;Communication
com.google.android.deskclock;Clock;Tools
com.google.android.dialer;Google Dialer;SMS and Phone
com.google.android.ears;Sound Search for Google Play;Searching and Wikis
com.google.android.email;Email;Communication
com.google.android.feedback;Android Feedback;Background Processes and Services
com.google.android.gallery3d;Google 3D Gallery;Photography
com.google.android.gm;Gmail;Communication
com.google.android.gm.exchange;Gmail;Communication
com.google.android.gms;GMS;Background Processes and Services
com.google.android.googlequicksearchbox;Google Quick Search Box;Searching and Wikis
com.google.android.gsf;Google Services Framework;Background Processes and Services
com.google.android.gsf.login;Google Services Framework Login;Background Processes and Services
com.google.android.inputmethod.korean;Google Korean Input;Tools
com.google.android.inputmethod.latin;Google Keyboard;Tools
com.google.android.inputmethod.pinyin;Google Pinyin Input;Tools
com.google.android.keep;Google Keep;Office
com.google.android.launcher;Google Now Launcher;Tools
com.google.android.location;Location;Background Processes and Services
com.google.android.maps.mytracks;My Tracks;Navigation and Travel
com.google.android.marvin.talkback;Google TalkBack;Tools
com.google.android.music;Google Play Music;Listening
com.google.android.onetimeinitializer;One Time Initializer;Background Processes and Services
com.google.android.partnersetup;Partner Setup;Background Processes and Services
com.google.android.play.games;Google Play Games;Gaming
com.google.android.setupwizard;Setup Wizard;Background Processes and Services
com.google.android.stardroid;Sky Map;Speciality
com.google.android.street;Google Street View;Navigation and Travel
com.google.android.syncadapters.bookmarks;Bookmarks Sync Adapter;Storage, Backups and Transfers
com.google.android.syncadapters.calendar;Calendar Sync Adapter;Storage, Backups and Transfers
com.google.android.syncadapters.contacts;Contacts Sync Adapter;Storage, Backups and Transfers
com.google.android.tag;Android Tag;Background Processes and Services
com.google.android.talk;Hangouts;Communication
com.google.android.tts;Google Text-to-speech;Tools
com.google.android.videos;Google Play Movies & TV;Watching
com.google.android.voicesearch;Google Voice Search;Searching and Wikis
com.google.android.webview;Android System WebView;Browsers
com.google.android.youtube;YouTube;Watching
