hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"Listening",852544.2077347067,60054.01725851631,339748.32113490556,30818.25544411313,9949.842504743832,34603.60427807486,20706.05882352941,37210.455580472655,942275.8038312099,293222.2182163188,493665.0486129936,17127.762266196805,372339.94849552726,140920.8518116924,29167.84042649318,19749.654085952,14524.118098852445,192081.8341152838,55168.015772336454,79808.83123833788,21934.390280181557,18921.202792779644,158942.82612201208,614473.2571609288
"Gaming",34379.142857142855,35022.704545454544,34379.142857142855,41990.0,37238.46428571428,49296.57488479263,136167.36363636365,670424.4415584416,38317.142857142855,21320.73271889401,18498.327188940093,27959.285714285714,25633.159090909092,24624.714285714286,39933.29107848673,60183.895684960204,179983.30509007123,81401.32142857143,93440.07142857143,116970.75974025975,97311.65668202765,51728.440429136084,67305.97486384583,58336.395894428155
"Shopping",149061.37272973705,24806.552182163185,47180.89163730008,273263.372729737,242101.51043643264,423939.39848197345,215636.0626185958,116193.99430740038,171817.16386554623,64517.36622390892,639634.193548387,321221.8728652752,133657.22390891841,595760.4611005692,843395.1992409867,38786.89007861209,199049.48007590132,74725.72865275142,502658.83335592295,513310.16698292224,445890.0360531309,1166531.0327324478,678951.0027785307,269181.6963946869
"Watching",83377763.49574824,14733.783290239173,462532.93528230157,2022.6860277609803,2066.0523524546297,231842.92132140472,3874.231857326734,2590702.3288395666,12324.265227182685,6573.754273756109,18287.581283867523,691305.8152529002,5400185.394623595,15221016.55279149,2829141.5191573547,12986675.957574842,5393407.970977851,126456.63337642749,153072.15442610218,9215236.007906549,4751393.405873539,2072179.6199458353,6914187.407566878,83529191.3006598
"News, Weather and Magazines",353070.1203815641,178511.58031923525,134465.92285450158,120162.42159737795,88090.83832043984,261702.55544202792,1073075.3865753226,2157426.0326704755,1045068.4022158436,367017.8960153918,61302.37107691966,471171.34842845326,1006248.7342407889,564176.2656532822,293747.22342127253,260987.4881413996,618919.5931462455,356210.3482202697,230796.0533929399,833373.9242351163,8215030.82008067,26353978.481292076,619335.704744105,2744066.3221095107
"Background Processes and Services",1004999.7708106114,179405.38248861663,413555.46643459797,136361.50880407577,957918.2757120158,1052019.4093992936,6862778.950582939,21629629.044804372,2490807.612811734,636992.8864999232,15660028.892924279,1577285.2300886693,2744316.3588745366,2496191.211292572,8226917.081849791,4025336.0289877737,1318851.1375504427,2645464.7174953176,3590243.3396659303,5541889.451811938,325949.5300189045,2404235.570504613,13905520.176553333,2489673.914773618
"Health and Fitness",18101.332068311196,3471.764705882353,1647.6546489563566,2072.0588235294117,2843.1176470588234,3769.595825426945,10529.060721062619,27401.64705882353,29102.65085388994,26018.751423149904,8905.588235294117,24567.796963946872,29859.85388994307,10590.003795066414,25236.223908918408,6767.941176470588,16769.25237191651,22572.87286527514,17463.647058823528,25601.901328273245,24102.645161290322,14562.04743833017,16746.400379506642,11906.176470588236
"Photography",7947.364055299539,4343.070276497696,4284.064516129032,4931.451612903225,3838.483870967742,884847.0000000001,7434.193548387097,6008.709677419355,11904.827188940093,8067.483870967742,6549.606758832565,4720.369431643625,6764.483870967742,7432.677419354839,5001.226574500768,3784.6140552995394,3606.1935483870966,6076.198540706605,4591.65821812596,6323.71044546851,6173.839477726574,12302.447004608295,121301.06528417818,118105.2703533026
"Social Media",5562658.505619562,1058589.3690336011,235069.86382815268,327279.853208324,251171.8657530971,1021627.0932429711,2258013.7533460404,8611197.428226154,13024884.5355983,17226960.148364116,12179280.597370632,5799775.115239963,5755632.608261984,9062282.19866544,8116710.820074351,9524822.270416694,13847940.626541233,12176177.44391384,13203195.976080652,14276064.490326792,9619304.840753017,10627834.519995708,10057908.03001633,12462111.521263229
"Communication",497903.6626287733,162301.20537858724,136230.5782373032,75574.50886931043,197955.55961031516,238714.39306627426,348939.30213334365,554361.1113763652,489727.38978103816,531199.357114505,472843.0468260392,593741.1845843566,998209.1955565335,1351860.7010885673,1082091.0709458156,2348324.7375829755,513012.04713830433,982912.791210103,1070833.6162733329,4126551.883634791,1544028.5763029428,623900.9811463321,1682509.2531337088,2282775.7297852435
"Storage, Backups and Transfers",527278.2349508493,52070.80326662585,31179.265221337802,142376.4241484322,1735884.4197200648,181706.59334482724,1852638.665310496,944299.008499565,2329546.4707281967,78233.62388869964,73744.89909619436,606947.3969335811,3388691.538321371,336735.8120189974,102800.45400843966,1276470.032271018,1117555.5672049124,134825.5433934036,200559.91185341624,669317.3496981184,299751.2450069799,2328768.6414795434,8368300.309844386,3610201.208320294
"Tools",52759.20717874925,3595974.1448997473,18962.269098363067,10836.95915083047,5756.494681452255,5598.869060462679,3800.911276194586,40758212.99047797,88275.4084852735,24915.314074308113,202035.7758054241,184404.6762826179,38628.58981189451,215195.11803682524,27559372.367317818,1043746.7718614952,237344.4634079105,24457.253082238003,78233.15208605438,4115916.0543276267,12316076.5187517,13368911.16288807,137671.44888141312,320394.8242384077
"Speciality",56020.59188205437,20666.423629199224,753.4347826086956,2191.9971949509118,8003.464235624123,442.6521739130435,23117.410238429173,104592.65147265077,310030.93050824816,174861.0009684098,147979.05903960462,243101.7135176651,198013.48958124625,142248.44426634608,297355.1644626995,208444.94513457557,340222.5130568356,306844.8648400454,345714.32161223533,399691.13784812664,366285.5936018166,469343.5293862286,362778.7409336806,405262.4157149536
"Office",10733.969836614999,7288.388039379975,4556.4663803938,8682.488479262673,5887.836824465856,7816.64034352744,12401.214285714286,136154.1926057813,12080.63940092166,8657.518223711771,10539.912128194386,8604.001989945538,14518.500550991785,13126.70004189359,12588.658986175114,13547.188730624213,11784.125366568915,10209.547793604244,8360.808546292417,18917.307931549516,9874.3284457478,15998.996648512777,109458.81147884374,20489.24057394219
"Browsers",10236093.513689347,5271426.961115893,1517926.2006189572,260196.8220836722,187993.49856468642,108499.87096774194,416648.02656546485,13020304.14299268,1320938.4430190027,217806.78169332247,632987.6648342581,9242715.872153437,6971851.442397597,7372167.253657564,11534546.61989424,3150956.4353351183,262905.3704334469,1039628.2049021572,4421221.627713319,5065211.535733929,10071924.846312016,8070620.099607394,8124505.178090081,6102985.019725524
"SMS and Phone",3732.957039337474,1400.2443064182194,1262.3095238095239,931.9989648033127,1111.7230848861282,495.1050724637681,1103.3680124223602,2156.782608695652,5059.540890269151,8537.625776397515,8172.468944099379,6564.952380952381,11396.3472288581,7377.503105590062,7922.351449275362,7980.552795031056,8390.434265010352,11101.112557732122,7363.694139194139,10456.351688166904,16655.009754738014,9680.131350533524,7254.307771938206,7622.62784679089
"Google Play Updates",3208121.771406982,3504747.3931145584,86971.46428571429,2427.0434782608695,13.176470588235293,37.72285514996513,1593.8770053475937,28887574.262032084,1513370.1104812191,133104.18055244538,1051680.856854995,8924.730635732554,518.579655143965,1488.4533829342015,17684939.599860497,740644.467341482,193109.58916531038,198538.9673412142,770447.1329953633,2183.623999312845,2945730.951790406,8130105.807878156,946209.3142519279,641210.6905979783
"Navigation and Travel",45444.13296725825,61903.716012049445,4870.960531507104,114487.98624008888,4633.682179355721,6571.550271030842,6404.662138153352,45801163.28858103,367107.8152768498,133602.04007212984,89923.30748484528,384196.3629851983,132595.2013509,24128.891288138755,98896.71317859326,29674.166679015787,62667.360944572014,116947.13715506505,82236.48412436503,25907.333813327998,88339.93908510156,33341.4142768927,93516.26948896059,71927.32810568689
"Analysers",114495.16037100018,84406.03790900818,61377.03183037846,74613.29436641515,73644.01773702743,93433.42170966702,126041.32733434785,172150.92257098702,105791.89792340597,83768.074400574,113006.72277996322,114182.37368915632,187113.13952603374,155160.622840103,189780.59851932025,146697.6834295493,130885.00293742093,172406.61331959983,162819.4578328884,279097.1623056631,158184.44778313843,163203.56485980266,151565.36637522336,165702.71235780965
"Security",2062.3300248138958,17032.56989247312,34601.473118279566,9055.132340777502,1509.4789081885856,3150.6980976013233,1534.6815550041356,3723.3680727874275,17349.99917287014,47833.62034739454,62264.99917287014,32307.82795698925,17725.679900744417,64974.191894127376,35257.20678246485,75945.90901571547,60388.8064516129,84686.35483870968,18401.967741935485,94648.74193548386,34604.99007444169,95145.28122415219,52454.50703060381,39062.55169561622
"Settings",0.0,0.0,0.0,0.0,4468.058823529412,3670.176470588235,3289.176470588235,34943.470588235294,36830.76470588235,0.0,25885.41176470588,11217.529411764706,0.0,0.0,0.0,0.0,0.0,0.0,4521.235294117647,0.0,6987.529411764706,0.0,0.0,0.0
"Searching and Wikis",61499.70751019737,56106.46504223165,37686.01392952261,45674.229748079655,40722.85452230304,43887.51131530104,44024.90038814691,210266.45069639682,125682.00686182339,69401.3622832699,74717.76372515777,88261.28271259856,78322.32717979845,95955.09681864489,78509.88975374377,136529.7498654372,103792.01742631457,117624.82022863286,165006.1120945303,123772.66936058055,259790.34262774052,156892.44541759562,237798.3935871419,358488.7027832671
"Reading",0.0,0.0,0.0,0.0,0.0,852.3636363636364,7137.129032258064,271.4193548387097,905.0645161290323,233.90322580645162,0.0,0.0,721.6451612903226,237.03225806451613,429.3225806451613,1080.032258064516,0.0,7049.677419354839,9.454545454545455,5695.290322580645,209.83870967741936,661.4516129032259,1172.967741935484,634.6451612903226
"Online Dating",352852.15527950315,392709.65838509315,330.7608695652174,0.0,4335.523809523809,0.0,0.0,290740.01863354037,738765.8467908902,1508163.7225672877,468313.70496894413,707454.2826086956,419461.1645962733,892684.7401656314,1046547.1873706004,789270.3271221532,1047553.6811594202,1358893.4896480332,1476215.2763975156,876655.5755693582,685832.8260869565,600031.0714285714,1091723.850931677,1849253.0113871633
