hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"Listening",17903.014999548206,10915.217041655374,15918.385108882263,5110.312099033163,2325.975332068311,4903.234086596515,4761.825426944972,8468.786441262722,24732.799765067317,13030.90322580645,12457.634679678322,4987.9409053944155,16554.786391976148,8180.527062437878,8958.903045089002,5909.490022311655,4268.986626908829,6955.932265710255,12783.563828328535,13372.891026114934,5995.826064511074,4442.791771795567,14871.436856628508,16886.83898075359
"Gaming",127.28571428571429,155.64935064935065,127.28571428571429,127.28571428571429,127.28571428571429,2559.97465437788,98456.13311688311,70188.9512987013,116.67857142857143,1099.6981566820277,1965.2557603686635,137.89285714285714,130.1948051948052,127.28571428571429,1601.7793619424053,20619.70779220779,124740.4030163385,234.28571428571428,243.96428571428572,12180.383116883115,2831.0552995391704,7445.777809147375,4427.473502304148,1993.7725178047758
"Shopping",22025.703239360257,10225.552182163188,21842.966657630797,30316.46591217132,34071.252371916504,57582.78178368122,33217.848197343454,28845.675521821628,34662.19219300624,13493.762808349147,64487.371916508535,41987.95256166983,46281.96204933586,75178.74003795067,72866.01138519924,18876.13872323123,49988.17457305503,14273.863377609108,53664.03822174031,69491.34345351045,65619.89563567363,120645.38547031717,82679.24783139062,56245.60151802657
"Watching",917785.2359291562,13994.467119850422,4117.087967693281,1085.3698869125815,1023.081934510777,4059.467744463001,2131.231387208617,71717.80625967961,5074.866746946917,3096.8088984757783,4549.688694098851,33667.73631979494,29644.776407186033,126950.58493869797,55734.74110818231,12664.24384518075,26106.95529237696,33295.39972093055,39784.537388435885,49332.69839332078,140337.11259234126,52488.018956375694,37024.39324583784,1060486.6818782103
"News, Weather and Magazines",29134.031272195607,7524.636580686864,15179.991012782288,8286.070536811318,15103.362234223714,10903.18187125967,49624.71583368094,145670.52811972285,62072.7734812557,26534.03269172595,9667.0410286713,72427.50831375812,321807.5863613327,159979.6533816196,26014.588725907095,20306.37406109277,36155.29189139244,21389.68363146905,23327.789943453132,47464.286244954346,42305.64701183095,76372.95707607575,47455.27028891961,36795.40612121426
"Background Processes and Services",141586.1111580785,106728.4369901748,87838.93185338848,87655.90120110069,85252.39734369116,124130.41596585081,336383.04696112406,857119.3057255631,264271.59134919476,201040.15316000173,159372.7978776648,194228.4744432135,291701.0110768766,215887.27494994897,391872.8391964098,175147.44189182651,165748.16901200305,243464.3728677477,252053.64494090868,326577.0913241326,178968.78202461262,217485.2334524989,470205.4171513523,253271.3813009997
"Health and Fitness",13053.612903225807,1627.8235294117646,891.8633776091083,869.1764705882352,1245.0,1534.178368121442,7243.087286527514,11602.058823529413,13192.61669829222,15189.129032258064,3708.1176470588234,11066.235294117647,12999.519924098671,5293.523719165085,9873.779886148008,3381.529411764706,9524.759013282732,12614.208728652751,7674.588235294118,10889.390891840607,7430.713472485768,2395.6982922201137,9915.364326375711,5109.64705882353
"Photography",951.052995391705,560.565668202765,501.0967741935484,575.4193548387096,435.38709677419354,1688.4193548387098,884.4516129032257,719.9677419354838,1491.6705069124423,941.0322580645161,794.6850998463901,585.5560675883256,819.3870967741937,872.516129032258,611.9516129032259,476.85023041474653,525.7741935483871,750.2357910906298,574.2277265745008,807.5967741935483,738.3709677419355,1147.284178187404,163402.01612903224,1939.1966205837173
"Social Media",14232846.054746581,12412983.688725892,9460395.291911358,8074687.483572391,10299060.690905662,21324617.120920777,25450088.53428667,31803239.05940363,43573778.48439348,19679412.28285915,13377754.96716612,6665326.15193007,32453358.566645898,38135891.88232446,17336719.77132796,23771987.879632622,35278035.964308664,12296240.301233843,12320606.76406364,10989377.980856182,6617649.303495758,4884700.223728558,12661599.747962466,12861707.079580856
"Communication",211687.75198929996,53903.97796170911,36507.12059251559,32696.797004352797,30614.074780292172,51233.11450915363,46678.96963119245,107175.79282581128,111837.97724513752,1212274.424809323,152628.35334244036,203959.4133014498,160412.75080505532,184659.55183728767,266404.3297730101,301067.11726492987,236192.49293096145,269995.61664531735,278551.0001033603,448410.85106682364,1028126.5549076502,351823.072329013,355754.3268083428,307046.7944453932
"Storage, Backups and Transfers",46511.75981624321,21872.881065171387,17678.98870484354,20619.206752924496,15624.073190250609,33388.028227149196,24851.988393485073,134959.95129901724,43872.32461671788,38282.437362736266,43029.28871214038,47816.879236616034,49043.75813320551,63378.19685694774,186160.68442328926,234870.39079642686,68105.80995258076,87439.23560135518,56750.73735927055,79662.32542043386,57758.17191833137,55581.13050365744,235537.864220323,63042.39852743439
